Flow Duration,Flow Bytes/s,Flow Packets/s,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,Average Packet Size,Fwd Packet Length Mean,Bwd Packet Length Mean,Fwd Packets/s,Bwd Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Down/Up Ratio,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes
20000416.99409485,10.499781082664564,0.1499968726094938,3,0,210,0,54,78,70.0,11.31370849898476,128.0,70.0,70.0,0,0.1499968726094938,0.0,10.000208497047424,9.992921710014343,19.993130207061768,0.007286787033081,0.0,3,210,0,0
20000402.212142944,8.199835096337706,0.0999979889797281,2,0,164,0,82,82,82.0,0.0,0.0,82.0,82.0,0,0.0999979889797281,0.0,20.000402212142944,0.0,20.000402212142944,20.000402212142944,0.0,2,164,0,0
6252473.1159210205,356.1790604631735,1.7593038460237578,11,0,2227,0,54,1070,202.45454545454547,311.0817967955063,96771.88429752066,202.45454545454547,202.45454545454547,0,1.7593038460237578,0.0,0.625247311592102,0.5277424044709311,1.3359770774841309,0.0005829334259033,0.0,11,2227,0,0
29503879.070281982,8.812400545048568,0.1016815447505604,3,0,260,0,76,92,86.66666666666667,7.542472332656507,56.88888888888889,86.66666666666667,86.66666666666667,0,0.1016815447505604,0.0,14.751939535140991,14.71448540687561,29.4664249420166,0.0374541282653808,0.0,3,260,0,0
29594341.99333191,12.502389817734992,0.0675804855012702,2,0,370,0,158,212,185.0,27.0,729.0,185.0,185.0,0,0.0675804855012702,0.0,29.59434199333191,0.0,29.59434199333191,29.59434199333191,0.0,2,370,0,0
5119823.932647705,21.48511383341922,0.3906384333348949,2,0,110,0,55,55,55.0,0.0,0.0,55.0,55.0,0,0.3906384333348949,0.0,5.119823932647705,0.0,5.119823932647705,5.119823932647705,0.0,2,110,0,0
5101933.002471924,25.872546726122245,0.3920082837291249,2,0,132,0,66,66,66.0,0.0,0.0,66.0,66.0,0,0.3920082837291249,0.0,5.101933002471924,0.0,5.101933002471924,5.101933002471924,0.0,2,132,0,0
19407680.988311768,226.9204652865172,0.4637339208852531,9,0,4404,0,77,1292,489.3333333333333,491.613895473086,241684.22222222228,489.3333333333333,489.3333333333333,0,0.4637339208852531,0.0,2.425960123538971,6.399526195257804,19.35749983787537,0.0001490116119384,0.0,9,4404,0,0
19404609.91859436,306.52510021860127,0.721478043554206,14,0,5948,0,65,1274,424.8571428571428,475.21331407858406,225827.69387755095,424.8571428571428,424.8571428571428,0,0.721478043554206,0.0,1.4926623014303355,5.159482754219338,19.36561608314514,0.0,0.0,14,5948,0,0
22348829.98466492,5.369408603597608,0.0894901433932934,2,0,120,0,54,66,60.0,6.0,36.0,60.0,60.0,0,0.0894901433932934,0.0,22.34882998466492,0.0,22.34882998466492,22.34882998466492,0.0,2,120,0,0
22357235.9085083,11.271518582674997,0.1789129933757935,4,0,252,0,54,78,63.0,9.9498743710662,99.0,63.0,63.0,0,0.1789129933757935,0.0,7.452411969502767,10.533433760288954,22.348936080932617,0.0,0.0,4,252,0,0
11918003.08227539,101.02363556111212,0.1678133481081596,2,0,1204,0,602,602,602.0,0.0,0.0,602.0,602.0,0,0.1678133481081596,0.0,11.91800308227539,0.0,11.91800308227539,11.91800308227539,0.0,2,1204,0,0
6156910.181045532,115.80484025818976,1.4617721771721006,9,0,713,0,76,89,79.22222222222223,5.30780929444275,28.17283950617284,79.22222222222223,79.22222222222223,0,1.4617721771721006,0.0,0.7696137726306915,1.1120707310690492,3.0752041339874268,0.000256061553955,0.0,9,713,0,0
5990880.012512207,130.53174130791467,0.6676815412169548,4,0,782,0,129,276,195.5,67.23280449304491,4520.25,195.5,195.5,0,0.6676815412169548,0.0,1.996960004170736,0.8422193861445542,3.073930025100708,1.0179049968719482,0.0,4,782,0,0
10032411.813735962,10.96446218938028,0.1993538579887323,2,0,110,0,55,55,55.0,0.0,0.0,55.0,55.0,0,0.1993538579887323,0.0,10.032411813735962,0.0,10.032411813735962,10.032411813735962,0.0,2,110,0,0
10013408.899307253,13.182323954545794,0.1997321811294817,2,0,132,0,66,66,66.0,0.0,0.0,66.0,66.0,0,0.1997321811294817,0.0,10.013408899307253,0.0,10.013408899307253,10.013408899307253,0.0,2,132,0,0
20072917.938232426,6.5760244926116425,0.09963673473654,2,0,132,0,54,78,66.0,12.0,144.0,66.0,66.0,0,0.09963673473654,0.0,20.072917938232425,0.0,20.072917938232425,20.072917938232425,0.0,2,132,0,0
45058205.8429718,2.9295440759452567,0.044387031453716,2,0,132,0,66,66,66.0,0.0,0.0,66.0,66.0,0,0.044387031453716,0.0,45.0582058429718,0.0,45.0582058429718,45.0582058429718,0.0,2,132,0,0
9512495.994567871,28.173467841988256,0.3153746400222565,3,0,268,0,79,110,89.33333333333333,14.613540144521982,213.5555555555556,89.33333333333333,89.33333333333333,0,0.3153746400222565,0.0,4.756247997283936,3.7408559322357178,8.497103929519653,1.0153920650482178,0.0,3,268,0,0
45026021.003723145,2.443031774691,0.0444187595398363,2,0,110,0,55,55,55.0,0.0,0.0,55.0,55.0,0,0.0444187595398363,0.0,45.026021003723145,0.0,45.026021003723145,45.026021003723145,0.0,2,110,0,0
45050248.14605713,2.93006155198177,0.0443948719997237,2,0,132,0,66,66,66.0,0.0,0.0,66.0,66.0,0,0.0443948719997237,0.0,45.05024814605713,0.0,45.05024814605713,45.05024814605713,0.0,2,132,0,0
5735060.930252075,52.13545307300823,0.5230981913679755,3,0,299,0,79,110,99.66666666666669,14.613540144521982,213.5555555555556,99.66666666666669,99.66666666666669,0,0.5230981913679755,0.0,2.8675304651260376,1.3557525873184204,4.223283052444458,1.5117778778076172,0.0,3,299,0,0
9020178.079605104,61.19613106620243,0.4434502251174089,4,0,552,0,138,138,138.0,0.0,0.0,138.0,138.0,0,0.4434502251174089,0.0,3.006726026535034,2.1191594179940383,6.0036680698394775,1.5052969455718994,0.0,4,552,0,0
26077900.886535645,398.3065985714725,1.2654392753305663,33,0,10387,0,54,1446,314.7575757575757,447.8972440532389,200611.94123048667,314.7575757575757,314.7575757575757,0,1.2654392753305663,0.0,0.8149344027042389,3.7254164607969664,21.4032039642334,0.0,0.0,33,10387,0,0
26271532.05871582,184.2678983920907,1.0277284149114747,27,0,4841,0,54,1446,179.2962962962963,283.2831085961748,80249.31961591219,179.2962962962963,179.2962962962963,0,1.0277284149114747,0.0,1.010443540719839,4.1402308869747895,21.562599897384644,0.0,0.0,27,4841,0,0
10032616.138458252,10.964238886638404,0.19934979793888,2,0,110,0,55,55,55.0,0.0,0.0,55.0,55.0,0,0.19934979793888,0.0,10.032616138458252,0.0,10.032616138458252,10.032616138458252,0.0,2,110,0,0
10013467.073440552,13.182247370654787,0.1997310207674967,2,0,132,0,66,66,66.0,0.0,0.0,66.0,66.0,0,0.1997310207674967,0.0,10.013467073440552,0.0,10.013467073440552,10.013467073440552,0.0,2,132,0,0
5477927.923202515,218.14817879191395,2.55571088124418,14,0,1195,0,72,110,85.35714285714286,13.946874421261883,194.51530612244895,85.35714285714286,85.35714285714286,0,2.55571088124418,0.0,0.421379071015578,0.4348310677400864,1.274784803390503,0.0003180503845214,0.0,14,1195,0,0
5503268.003463745,300.9121123953471,1.635391915192104,9,0,1656,0,122,337,184.0,68.0653280965345,4632.888888888889,184.0,184.0,0,1.635391915192104,0.0,0.6879085004329681,0.6154154983161142,1.970785140991211,0.0398700237274169,0.0,9,1656,0,0
19910028.93447876,6.629824619260692,0.1004518881706165,2,0,132,0,54,78,66.0,12.0,144.0,66.0,66.0,0,0.1004518881706165,0.0,19.91002893447876,0.0,19.91002893447876,19.91002893447876,0.0,2,132,0,0
19918335.914611816,8.233619550501297,0.1004099945183085,2,0,164,0,82,82,82.0,0.0,0.0,82.0,82.0,0,0.1004099945183085,0.0,19.918335914611816,0.0,19.918335914611816,19.918335914611816,0.0,2,164,0,0
6148639.917373657,6794.510747320639,13.824195454969344,85,0,41777,0,72,1292,491.4941176470588,557.9009109474425,311253.4264359862,491.4941176470588,491.4941176470588,0,13.824195454969344,0.0,0.0731980942544483,0.2970270331393909,1.9771840572357176,3.3855438232421875e-05,0.0,85,41777,0,0
6149517.059326172,14491.21925190083,18.212812310219416,112,0,89114,0,63,1494,795.6607142857143,671.3095218831015,450656.4741709184,795.6607142857143,795.6607142857143,0,18.212812310219416,0.0,0.055401054588524,0.2583364614362049,1.948643922805786,0.0,0.0,112,89114,0,0
5206391.096115112,1420.369669408427,5.7621487602775945,30,0,7395,0,54,1454,246.5,385.594151926608,148682.85,246.5,246.5,0,5.7621487602775945,0.0,0.1795307274522452,0.460411961380735,2.101055145263672,0.0,0.0,30,7395,0,0
5204832.077026367,2886.5484568300494,5.37961639984301,28,0,15024,0,54,1506,536.5714285714286,658.0540266883992,433035.1020408164,536.5714285714286,536.5714285714286,0,5.37961639984301,0.0,0.1927715584083839,0.4771394022656539,2.1104929447174072,0.0,0.0,28,15024,0,0
5014693.975448608,474.0069905835792,5.384177007049491,27,0,2377,0,78,98,88.03703703703704,4.34171395991714,18.85048010973937,88.03703703703704,88.03703703703704,0,5.384177007049491,0.0,0.1928728452095618,0.2237146410578233,0.9564850330352784,0.0019750595092773,0.0,27,2377,0,0
5016765.117645264,610.1541388162003,3.3886378176659284,17,0,3061,0,161,219,180.05882352941177,15.260370006443615,232.878892733564,180.05882352941177,180.05882352941177,0,3.3886378176659284,0.0,0.313547819852829,0.2210618563882825,0.9538309574127196,0.0318419933319091,0.0,17,3061,0,0
7189320.802688599,1002.0418058554172,4.729236729467544,34,0,7204,0,54,1454,211.8823529411765,352.7365092851872,124423.04498269894,211.8823529411765,211.8823529411765,0,4.729236729467544,0.0,0.2178582061420787,0.6327371053975226,2.9718329906463623,0.0,0.0,34,7204,0,0
7189243.078231812,27589.413494804696,21.14269866048044,152,0,198347,0,54,1506,1304.9144736842106,444.7220442395651,197777.6966326177,1304.9144736842106,1304.9144736842106,0,21.14269866048044,0.0,0.0476108813127934,0.310490612486904,2.980034112930298,0.0,0.0,152,198347,0,0
7535413.980484009,54.94057805877949,0.398120130860721,3,0,414,0,138,138,138.0,0.0,0.0,138.0,138.0,0,0.398120130860721,0.0,3.767706990242005,2.265616059303284,6.033323049545288,1.5020909309387207,0.0,3,414,0,0
8316359.043121338,502.2630670876215,1.803673930168619,15,0,4177,0,54,838,278.46666666666664,303.56237506574416,92150.11555555556,278.46666666666664,278.46666666666664,0,1.803673930168619,0.0,0.5940256459372384,1.87125552618542,7.324615001678467,0.0010511875152587,0.0,15,4177,0,0
8354883.909225464,1193.7927693988313,1.79535708251278,15,0,9974,0,54,1506,664.9333333333333,625.5966183483482,391371.12888888887,664.9333333333333,664.9333333333333,0,1.79535708251278,0.0,0.5967774220875331,1.8944358182787455,7.414031028747559,0.0,0.0,15,9974,0,0
8325162.887573242,194.59078721668408,0.4804710795473681,4,0,1620,0,54,1386,405.0,567.1428391507734,321651.0,405.0,405.0,0,0.4804710795473681,0.0,2.7750542958577475,2.367810013137163,5.8845579624176025,0.1441860198974609,0.0,4,1620,0,0
8484998.941421509,42.42781908228364,0.4714202120253738,4,0,360,0,54,128,90.0,36.02776706930364,1298.0,90.0,90.0,0,0.4714202120253738,0.0,2.8283329804738364,2.304861752883871,5.879337787628174,0.3092970848083496,0.0,4,360,0,0
7523536.920547485,5533.966329890787,7.4433076611957265,56,0,41635,0,54,1506,743.4821428571429,652.0667962900577,425191.1068239796,743.4821428571429,743.4821428571429,0,7.4433076611957265,0.0,0.1367915803735906,0.5836219670308761,4.354063987731934,0.0,0.0,56,41635,0,0
7531970.024108887,902.9510178918472,3.8502543036117594,29,0,6801,0,54,1454,234.51724137931035,323.14719830396234,104424.11177170038,234.51724137931035,234.51724137931035,0,3.8502543036117594,0.0,0.2689989294324602,0.7981647300893143,4.35405707359314,0.0,0.0,29,6801,0,0
5374667.167663574,2283.8623522312128,4.093276720903192,22,0,12275,0,54,1454,557.9545454545455,567.2961770357164,321824.9524793388,557.9545454545455,557.9545454545455,0,4.093276720903192,0.0,0.2559365317935035,0.9545321318389918,4.51230001449585,0.0,0.0,22,12275,0,0
5404125.928878784,6543.888959178476,6.106445414910352,33,0,35364,0,54,1506,1071.6363636363635,566.3337605817401,320733.9283746557,1071.6363636363635,1071.6363636363635,0,6.106445414910352,0.0,0.168878935277462,0.7977844024238211,4.594586849212647,0.0,0.0,33,35364,0,0
11355031.967163086,658.6507216913221,2.465867122256588,28,0,7479,0,54,1454,267.10714285714283,436.377321926606,190425.16709183672,267.10714285714283,267.10714285714283,0,2.465867122256588,0.0,0.4205567395245587,1.3888711603318684,7.221462965011597,0.0,0.0,28,7479,0,0
11355321.884155272,2126.5799636816178,3.3464485100174537,38,0,24148,0,54,1506,635.4736842105264,630.3199578844693,397303.2493074792,635.4736842105264,635.4736842105264,0,3.3464485100174537,0.0,0.306900591463656,1.2028654756223878,7.229763984680176,0.0,0.0,38,24148,0,0
7709994.077682495,1097.795914590916,5.966282144515848,46,0,8464,0,54,571,184.0,203.00824570959415,41212.34782608696,184.0,184.0,0,5.966282144515848,0.0,0.1713332017262776,0.8304454320926936,5.612486124038696,0.000180959701538,0.0,46,8464,0,0
7711018.800735474,16874.2942226505,14.65435410288743,113,0,130118,0,54,1506,1151.486725663717,547.3117102994157,299550.1082308716,1151.486725663717,1151.486725663717,0,14.65435410288743,0.0,0.0688483821494238,0.5342033942769675,5.621888875961304,0.0,0.0,113,130118,0,0
6460139.036178589,197.36417325689783,2.167136020075741,14,0,1275,0,78,110,91.07142857142856,10.333470484058005,106.78061224489797,91.07142857142856,91.07142857142856,0,2.167136020075741,0.0,0.4969337720137376,0.913911352603236,3.444432020187378,4.911422729492188e-05,0.0,14,1275,0,0
6393848.896026611,198.315603108479,1.2512025432711609,8,0,1268,0,97,196,158.5,28.0713376952364,788.0,158.5,158.5,0,1.2512025432711609,0.0,0.9134069851466587,1.408114774444458,4.106005907058716,0.0030310153961181,0.0,8,1268,0,0
8561335.08682251,1895.498755209093,3.153713728780226,27,0,16228,0,54,1454,601.0370370370371,603.039430040701,363656.5541838135,601.0370370370371,601.0370370370371,0,3.153713728780226,0.0,0.3292821187239427,1.0616713738513324,5.258516073226929,0.0,0.0,27,16228,0,0
8561357.975006104,1389.966408920253,2.686489697913093,23,0,11900,0,54,1506,517.3913043478261,640.816513053968,410645.8034026464,517.3913043478261,517.3913043478261,0,2.686489697913093,0.0,0.3891526352275501,1.1545245269339504,5.312551021575928,0.0,0.0,23,11900,0,0
6251067.161560059,19.196722239351526,0.3199453706558587,2,0,120,0,54,66,60.0,6.0,36.0,60.0,60.0,0,0.3199453706558587,0.0,6.251067161560059,0.0,6.251067161560059,6.251067161560059,0.0,2,120,0,0
6305093.050003052,120.06166982732056,0.3172038832954308,2,0,757,0,66,691,378.5,312.5,97656.25,378.5,378.5,0,0.3172038832954308,0.0,6.305093050003052,0.0,6.305093050003052,6.305093050003052,0.0,2,757,0,0
6245589.017868042,1436.053505016186,1.2809040071501268,8,0,8969,0,331,1506,1121.125,441.8278617006854,195211.859375,1121.125,1121.125,0,1.2809040071501268,0.0,0.8922270025525775,1.0966283584397374,3.172940969467163,0.0,0.0,8,8969,0,0
8220186.948776245,29.196416273200363,0.2433034689433363,2,0,240,0,54,186,120.0,66.0,4356.0,120.0,120.0,0,0.2433034689433363,0.0,8.220186948776245,0.0,8.220186948776245,8.220186948776245,0.0,2,240,0,0
8374744.176864624,33.19504382808251,0.2388132649502339,2,0,278,0,128,150,139.0,11.0,121.0,139.0,139.0,0,0.2388132649502339,0.0,8.374744176864624,0.0,8.374744176864624,8.374744176864624,0.0,2,278,0,0
5092792.03414917,21.59915411083092,0.3927118929241985,2,0,110,0,55,55,55.0,0.0,0.0,55.0,55.0,0,0.3927118929241985,0.0,5.09279203414917,0.0,5.09279203414917,5.09279203414917,0.0,2,110,0,0
5092566.967010498,25.92013042834629,0.3927292489143377,2,0,132,0,66,66,66.0,0.0,0.0,66.0,66.0,0,0.3927292489143377,0.0,5.092566967010498,0.0,5.092566967010498,5.092566967010498,0.0,2,132,0,0
36962439.06021118,3.2465390015123745,0.0541089833585395,2,0,120,0,54,66,60.0,6.0,36.0,60.0,60.0,0,0.0541089833585395,0.0,36.96243906021118,0.0,36.96243906021118,36.96243906021118,0.0,2,120,0,0
10031383.03756714,10.965586658196012,0.1993743028762911,2,0,110,0,55,55,55.0,0.0,0.0,55.0,55.0,0,0.1993743028762911,0.0,10.03138303756714,0.0,10.03138303756714,10.03138303756714,0.0,2,110,0,0
10031736.850738524,13.158239890461472,0.199367271067598,2,0,132,0,66,66,66.0,0.0,0.0,66.0,66.0,0,0.199367271067598,0.0,10.031736850738524,0.0,10.031736850738524,10.031736850738524,0.0,2,132,0,0
12505907.773971558,8.635918475648726,0.1599244162157171,2,0,108,0,54,54,54.0,0.0,0.0,54.0,54.0,0,0.1599244162157171,0.0,12.505907773971558,0.0,12.505907773971558,12.505907773971558,0.0,2,108,0,0
20032842.874526978,6.58917962002519,0.0998360548488665,2,0,132,0,54,78,66.0,12.0,144.0,66.0,66.0,0,0.0998360548488665,0.0,20.032842874526978,0.0,20.032842874526978,20.032842874526978,0.0,2,132,0,0
19702909.94644165,201.08704809441295,0.3045235458269757,6,0,3962,0,75,1292,660.3333333333334,585.333428246006,342615.22222222225,660.3333333333334,660.3333333333334,0,0.3045235458269757,0.0,3.94058198928833,7.810126168987182,19.56057977676392,3.2901763916015625e-05,0.0,6,3962,0,0
19759073.01902771,19.94020668988791,0.2530483082473084,5,0,394,0,63,126,78.8,23.735205918634872,563.3599999999999,78.8,78.8,0,0.2530483082473084,0.0,4.939768254756928,8.460969613719135,19.594370126724243,0.0,0.0,5,394,0,0
45207316.16020203,94.65282090262616,0.3760453272597908,17,0,4279,0,54,1494,251.7058823529412,388.4255950714041,150874.4429065744,251.7058823529412,251.7058823529412,0,0.3760453272597908,0.0,2.825457260012626,10.89307807649683,45.0140860080719,0.0,0.0,17,4279,0,0
45224414.82543945,1493.0652007467709,1.2161572507304534,55,0,67523,0,54,1506,1227.6909090909091,537.4231064737548,288823.5953719008,1227.6909090909091,1227.6909090909091,0,1.2161572507304534,0.0,0.837489163434064,6.071720124827409,45.04021501541138,0.0,0.0,55,67523,0,0
8268820.04737854,84.1716225546174,0.8465536751182784,7,0,696,0,54,154,99.42857142857144,40.36567545702711,1629.3877551020407,99.42857142857144,99.42857142857144,0,0.8465536751182784,0.0,1.37813667456309,2.1447516866227807,5.836833953857422,0.0304741859436035,0.0,7,696,0,0
